         69285670 function calls (68358221 primitive calls) in 184.989 seconds

   Ordered by: cumulative time
   List reduced from 2269 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  184.989  184.989 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\run_ptrade_strategy.py:115(main)
        1    0.075    0.075  184.861  184.861 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:454(run)
       77    0.000    0.000  120.900    1.570 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:2105(_get_daily_data)
       77    0.001    0.000  120.898    1.570 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_provider.py:49(get_daily_snapshot)
       77    0.001    0.000  120.886    1.570 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:208(query_daily_snapshot)
      316   83.526    0.264   84.797    0.268 {built-in method _duckdb.fetchdf}
      472   54.105    0.115   54.108    0.115 {built-in method _duckdb.execute}
       76    0.003    0.000   49.241    0.648 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:1751(_run_ptrade_strategy)
       77    0.000    0.000   17.957    0.233 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:425(attach)
       77    0.093    0.001   17.957    0.233 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:434(attach_day)
       77    0.027    0.000   17.828    0.232 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_provider.py:109(preload)
       77    0.044    0.001   17.790    0.231 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:146(preload_fundamentals_pit)
       77    0.001    0.000   16.918    0.220 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:850(query_valuation_for_preload)
       76    0.001    0.000   16.322    0.215 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:51(handle_data)
       76    0.032    0.000   15.162    0.199 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:36(before_trading_start)
      106    0.893    0.008   14.382    0.136 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:37(_build_code_index)
   710023    1.384    0.000   14.201    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1177(__getitem__)
  1005327    2.039    0.000   12.473    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:2119(_to_qmt)
       76    0.003    0.000   12.139    0.160 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:76(get_trade_stocks)
  1226879    1.286    0.000   11.562    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:141(normalize_security_code)
   710019    2.120    0.000   11.016    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1720(_getitem_axis)
       76    0.203    0.003   10.740    0.141 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:773(filter_stock_by_status)
       76    0.001    0.000   10.681    0.141 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:10197(apply)
       76    0.001    0.000   10.678    0.141 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\apply.py:864(apply)
       76    0.001    0.000   10.677    0.140 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\apply.py:1061(apply_standard)
       76    0.005    0.000   10.645    0.140 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\apply.py:1070(apply_series_generator)
      760    0.002    0.000   10.603    0.014 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:87(<lambda>)
      760    0.012    0.000   10.582    0.014 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:214(__getitem__)
  1006459    0.424    0.000    9.689    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:153(normalize_to_qmt)
  1226879    2.343    0.000    8.559    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:112(exchange)
       76    0.001    0.000    6.924    0.091 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:907(_build_match_prices)
       76    0.627    0.008    6.901    0.091 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:929(<dictcomp>)
       76    0.607    0.008    6.798    0.089 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:521(<dictcomp>)
