         13270259 function calls (13043658 primitive calls) in 157.749 seconds

   Ordered by: cumulative time
   List reduced from 2271 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  157.749  157.749 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\run_ptrade_strategy.py:115(main)
        1    0.067    0.067  157.625  157.625 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:454(run)
       77    0.001    0.000  120.926    1.570 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:2113(_get_daily_data)
       77    0.001    0.000  120.924    1.570 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_provider.py:49(get_daily_snapshot)
       77    0.002    0.000  120.912    1.570 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:226(query_daily_snapshot)
      316   76.978    0.244   78.166    0.247 {built-in method _duckdb.fetchdf}
      472   60.349    0.128   60.352    0.128 {built-in method _duckdb.execute}
       76    0.003    0.000   31.374    0.413 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:1759(_run_ptrade_strategy)
       77    0.000    0.000   17.618    0.229 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:425(attach)
       77    0.076    0.001   17.618    0.229 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:434(attach_day)
       77    0.019    0.000   17.508    0.227 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_provider.py:109(preload)
       77    0.034    0.000   17.478    0.227 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:164(preload_fundamentals_pit)
       77    0.001    0.000   16.600    0.216 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:902(query_valuation_for_preload)
       76    0.024    0.000   11.775    0.155 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:36(before_trading_start)
       76    0.175    0.002    9.838    0.129 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:773(filter_stock_by_status)
     8375    0.022    0.000    5.012    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\common.py:62(new_method)
     8204    0.052    0.000    4.915    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6129(_cmp_method)
     8125    0.016    0.000    4.911    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arraylike.py:38(__eq__)
    18461    0.123    0.000    4.090    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4073(__getitem__)
     8204    0.074    0.000    3.504    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:288(comparison_op)
     7973    3.244    0.000    3.297    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:113(comp_method_OBJECT_ARRAY)
