         13272809 function calls (13046196 primitive calls) in 151.340 seconds

   Ordered by: cumulative time
   List reduced from 2279 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  151.340  151.340 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\run_ptrade_strategy.py:115(main)
        1    0.072    0.072  151.206  151.206 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:454(run)
       77    0.000    0.000  110.164    1.431 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:2113(_get_daily_data)
       77    0.001    0.000  110.162    1.431 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_provider.py:54(get_daily_snapshot)
       77    0.002    0.000  110.152    1.431 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:226(query_daily_snapshot)
      316   76.565    0.242   77.779    0.246 {built-in method _duckdb.fetchdf}
      472   54.482    0.115   54.485    0.115 {built-in method _duckdb.execute}
       76    0.003    0.000   34.751    0.457 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:1759(_run_ptrade_strategy)
       77    0.000    0.000   22.102    0.287 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:425(attach)
       77    0.076    0.001   22.102    0.287 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:434(attach_day)
       77    0.046    0.001   21.224    0.276 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_provider.py:114(preload)
       77    0.036    0.000   21.174    0.275 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:164(preload_fundamentals_pit)
       77    0.001    0.000   20.190    0.262 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:902(query_valuation_for_preload)
       76    0.024    0.000   11.555    0.152 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:36(before_trading_start)
       76    0.171    0.002    9.523    0.125 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:773(filter_stock_by_status)
     8375    0.021    0.000    4.870    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\common.py:62(new_method)
     8204    0.053    0.000    4.773    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6129(_cmp_method)
     8125    0.014    0.000    4.769    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arraylike.py:38(__eq__)
    18462    0.122    0.000    4.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4073(__getitem__)
     8204    0.069    0.000    3.408    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:288(comparison_op)
  1005327    1.959    0.000    3.264    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:2127(_to_qmt)
     7973    3.156    0.000    3.206    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:113(comp_method_OBJECT_ARRAY)
     8279    0.063    0.000    3.120    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4141(_getitem_bool_array)
       76    0.001    0.000    2.285    0.030 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:915(_build_match_prices)
       76    0.537    0.007    2.266    0.030 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:937(<dictcomp>)
       76    0.001    0.000    2.154    0.028 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:51(handle_data)
     8358    0.047    0.000    2.053    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:4164(_take_with_is_copy)
       76    0.490    0.006    2.021    0.027 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:529(<dictcomp>)
       76    0.003    0.000    1.953    0.026 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:76(get_trade_stocks)
     8360    0.082    0.000    1.889    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:4049(take)



===== TOP BY TOTTIME =====
         13272809 function calls (13046196 primitive calls) in 151.340 seconds

   Ordered by: internal time
   List reduced from 2279 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      316   76.565    0.242   77.779    0.246 {built-in method _duckdb.fetchdf}
      472   54.482    0.115   54.485    0.115 {built-in method _duckdb.execute}
     7973    3.156    0.000    3.206    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:113(comp_method_OBJECT_ARRAY)
  1005327    1.959    0.000    3.264    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:2127(_to_qmt)
  1006459    0.572    0.000    0.619    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:159(normalize_to_qmt)
       76    0.537    0.007    2.266    0.030 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:937(<dictcomp>)
  1080085    0.531    0.000    0.753    0.000 <frozen importlib._bootstrap>:405(parent)
       76    0.490    0.006    2.021    0.027 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:529(<dictcomp>)
1524691/1501315    0.449    0.000    0.771    0.000 {built-in method builtins.isinstance}
    23569    0.359    0.000    0.359    0.000 {method 'copy' of 'numpy.ndarray' objects}
    52015    0.305    0.000    0.305    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1080720    0.223    0.000    0.223    0.000 {method 'rpartition' of 'str' objects}
       76    0.219    0.003    1.151    0.015 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:81(<listcomp>)
513543/321453    0.217    0.000    0.358    0.000 {built-in method builtins.len}
      106    0.214    0.002    0.399    0.004 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:37(_build_code_index)
    33706    0.213    0.000    0.296    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6258(__finalize__)
10420/10342    0.202    0.000    1.313    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:392(__init__)
    18853    0.199    0.000    0.627    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
     8721    0.195    0.000    0.651    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:977(fast_xs)
    73015    0.177    0.000    0.287    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:1657(_to_ptrade_code)
       76    0.171    0.002    9.523    0.125 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:773(filter_stock_by_status)
   700531    0.163    0.000    0.163    0.000 {method 'setdefault' of 'dict' objects}
       77    0.157    0.002    0.161    0.002 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\reshape\merge.py:2399(_factorize_keys)
    68321    0.153    0.000    0.421    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6323(__setattr__)
    36013    0.144    0.000    0.178    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:281(__init__)
    14294    0.143    0.000    0.542    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
    18318    0.139    0.000    0.145    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\cast.py:550(maybe_promote)
   221127    0.137    0.000    0.309    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
   220420    0.137    0.000    0.139    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:163(normalize_to_ptrade)
   221127    0.125    0.000    0.168    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)


