G2a 定点重锚候选清单（全历史因子变化点判别）
code, max_dev, severity, etf_minutes_bars
510020, 8.9404, FAIL, 68297
512930, 2.9986, FAIL, 68125
159393, 2.9170, FAIL, 58312
159845, 2.7965, FAIL, 68127
159300, 2.5855, FAIL, 68134
159546, 2.0012, FAIL, 21558
159507, 2.0010, FAIL, 33196
515050, 2.0000, FAIL, 68125
159667, 1.9986, FAIL, 13633
159629, 1.8401, FAIL, 68138
159633, 1.8145, FAIL, 68128
516300, 1.3714, FAIL, 68260
159919, 1.1501, FAIL, 68127
515980, 1.0000, FAIL, 68235
159583, 1.0000, FAIL, 68244
588760, 1.0000, FAIL, 64631
159381, 0.9993, FAIL, 50655
159305, 0.9991, FAIL, 68292
588790, 0.9985, FAIL, 67109
513380, 0.9984, FAIL, 68317
511030, 0.9900, FAIL, 68366
159943, 0.9154, FAIL, 68140
159975, 0.9000, FAIL, 68302
159909, 0.8979, FAIL, 68150
510030, 0.8756, FAIL, 68264
159970, 0.8333, FAIL, 68337
160706, 0.7760, FAIL, 9795
510170, 0.7528, FAIL, 68190
510580, 0.7520, FAIL, 68127
159941, 0.7500, FAIL, 68127
159928, 0.7500, FAIL, 68127
510630, 0.7468, FAIL, 68161
159967, 0.7251, FAIL, 68127
516160, 0.6909, FAIL, 68125
159966, 0.6749, FAIL, 68209
563330, 0.6670, FAIL, 68218
159806, 0.6668, FAIL, 68164
159922, 0.6654, FAIL, 68127
510500, 0.6603, FAIL, 68125
159991, 0.6479, FAIL, 68206
560010, 0.6462, FAIL, 68126
512100, 0.6278, FAIL, 68125
159388, 0.6002, FAIL, 53668
159375, 0.5998, FAIL, 40790
510100, 0.5360, FAIL, 68126
159901, 0.5266, FAIL, 68128
159596, 0.5196, FAIL, 68229
563500, 0.5172, FAIL, 68247
159814, 0.5145, FAIL, 68151
159220, 0.5095, FAIL, 34294
159747, 0.5000, FAIL, 68310
159925, 0.4718, FAIL, 68366
510310, 0.4684, FAIL, 68366
515080, 0.3182, FAIL, 68366
159830, 0.0642, FAIL, 68366
518800, 0.0577, FAIL, 68366
518600, 0.0558, FAIL, 68366
159934, 0.0519, FAIL, 68366
510230, 0.0492, FAIL, 68138
159390, 0.0477, FAIL, 53425
510880, 0.0463, FAIL, 68366
515180, 0.0433, FAIL, 68366
518680, 0.0428, FAIL, 68366
520550, 0.0422, FAIL, 64510
562060, 0.0420, FAIL, 68161
159399, 0.0386, FAIL, 60173
560020, 0.0385, FAIL, 68366
520990, 0.0347, FAIL, 68366
560070, 0.0316, FAIL, 68366
511010, 0.0315, FAIL, 68366
512700, 0.0309, FAIL, 68366
515450, 0.0307, FAIL, 68366
159209, 0.0287, FAIL, 55835
159336, 0.0271, FAIL, 62824
510300, 0.0224, FAIL, 68366
510810, 0.0216, FAIL, 68366
511260, 0.0215, FAIL, 68366
159545, 0.0209, FAIL, 68367
560150, 0.0179, FAIL, 68366
515300, 0.0175, FAIL, 68366
561870, 0.0165, FAIL, 48845
510180, 0.0160, FAIL, 68136
511220, 0.0148, FAIL, 68125
159221, 0.0147, FAIL, 48364
159355, 0.0137, FAIL, 68367
561880, 0.0133, FAIL, 64510
561060, 0.0131, FAIL, 68366
513920, 0.0130, FAIL, 68366
159307, 0.0129, FAIL, 68367
562810, 0.0122, FAIL, 57762
512250, 0.0116, FAIL, 52701
159119, 0.0111, FAIL, 18239
159400, 0.0111, FAIL, 37278
520660, 0.0110, FAIL, 68366
561960, 0.0110, FAIL, 68366
520810, 0.0107, FAIL, 17111
560510, 0.0106, FAIL, 68366
551800, 0.0106, FAIL, 25468
563900, 0.0104, FAIL, 49327
511130, 0.0103, FAIL, 68366
159547, 0.0100, FAIL, 68367
513950, 0.0099, FAIL, 68366
560350, 0.0099, FAIL, 68366
563020, 0.0097, FAIL, 68366
563700, 0.0095, FAIL, 50291
588080, 0.0094, FAIL, 68366
560610, 0.0083, FAIL, 68366
560530, 0.0083, FAIL, 68366
159332, 0.0077, FAIL, 68367
510720, 0.0064, FAIL, 68366
511270, 0.0063, FAIL, 68366
159351, 0.0061, FAIL, 68367
511190, 0.0060, FAIL, 64028
159581, 0.0059, FAIL, 68367
511060, 0.0058, FAIL, 68366
561230, 0.0057, FAIL, 68366
530880, 0.0052, FAIL, 68366
520900, 0.0052, FAIL, 68366
159650, 0.0051, FAIL, 68367
513820, 0.0050, WARN, 68366
159232, 0.0047, WARN, 49810
560570, 0.0046, WARN, 26432
159331, 0.0033, WARN, 68367
159333, 0.0030, WARN, 68367

TOTAL: 124 codes, 7773027 bars
