code,end_date,fi_ann_date,fi_eps_orig,fi_data_source,ic_ann_date,ic_basic_eps
000001,1719676800000,1723737600000,,mcp,1723737600000,1.23
000006,1751212800000,1756396800000,,mcp,1756396800000,-0.0526
000007,1688054400000,1693324800000,,mcp,1693324800000,0.035
000014,1767110400000,1773763200000,,mcp,1773763200000,-0.62
000039,1743350400000,1745856000000,,mcp,1745856000000,0.0971
000056,1696003200000,1698422400000,,mcp,1698422400000,-0.45
000061,1759161600000,1761580800000,,mcp,1761580800000,0.1555
000063,1774886400000,1777046400000,,mcp,1777046400000,0.27
000078,1751212800000,1756483200000,,mcp,1756483200000,0.012
000088,1711814400000,1714406400000,,mcp,1714406400000,0.06
000151,1751212800000,1756483200000,,mcp,1756483200000,-0.16
000156,1711814400000,1714406400000,,mcp,1714406400000,0.06
000157,1719676800000,1724947200000,,mcp,1724947200000,0.28
000301,1711814400000,1714406400000,,mcp,1714406400000,0.04
000404,1688054400000,1691424000000,,mcp,1691424000000,0.2368
000407,1767110400000,1774368000000,,mcp,1774368000000,0.18
000415,1688054400000,1693411200000,,mcp,1693411200000,0.0851
000417,1696003200000,1698163200000,,mcp,1698163200000,0.336
000422,1688054400000,1693324800000,,mcp,1693324800000,0.2811
000488,1688054400000,1693411200000,,mcp,1693411200000,-0.25
000504,1703952000000,1714406400000,,mcp,1714406400000,-0.09
000505,1703952000000,1711728000000,,mcp,1711728000000,0.14
000509,1711814400000,1714406400000,,mcp,1714406400000,0.0003
000525,1751212800000,1756396800000,,mcp,1756396800000,-0.1606
000537,1751212800000,1756396800000,,mcp,1756396800000,0.3
000538,1743350400000,1745856000000,,mcp,1745856000000,1.08
000547,1759161600000,1761580800000,,mcp,1761580800000,-0.31
000550,1688054400000,1693324800000,,mcp,1693324800000,0.84
000551,1696003200000,1698422400000,,mcp,1698422400000,0.3424
000570,1696003200000,1698422400000,,mcp,1698422400000,0.2223
000576,1688054400000,1692806400000,,mcp,1692806400000,0.0839
000595,1751212800000,1756396800000,,mcp,1756396800000,0.06
000603,1711814400000,1714406400000,,mcp,1714406400000,-0.0128
000609,1759161600000,1761235200000,,mcp,1761235200000,-0.51
000623,1711814400000,1714406400000,,mcp,1714406400000,0.1277
000626,1688054400000,1692892800000,,mcp,1692892800000,0.0015
000630,1696003200000,1698422400000,,mcp,1698422400000,0.203
000655,1743350400000,1744128000000,,mcp,1744128000000,0.0825
000683,1696003200000,1698422400000,,mcp,1698422400000,0.42
000686,1696003200000,1698336000000,,mcp,1698336000000,0.25
000688,1767110400000,1774281600000,,mcp,1774281600000,0.9672
000690,1711814400000,1714406400000,,mcp,1714406400000,0.1
000691,1703952000000,1713542400000,,mcp,1713542400000,-0.3226
000697,1688054400000,1693324800000,,mcp,1693324800000,-0.2417
000711,1688054400000,1693411200000,,mcp,1693411200000,-0.6291
000712,1751212800000,1756310400000,,mcp,1756310400000,0.139
000718,1711814400000,1714406400000,,mcp,1714406400000,0.0299
000739,1759161600000,1761062400000,,mcp,1761062400000,0.6063
000756,1696003200000,1698422400000,,mcp,1698422400000,0.58
000759,1696003200000,1698422400000,,mcp,1698422400000,-0.067
000761,1688054400000,1693411200000,,mcp,1693411200000,-0.2446
000767,1751212800000,1756396800000,,mcp,1756396800000,0.002
000783,1751212800000,1756483200000,,mcp,1756483200000,0.3
000790,1703952000000,1714406400000,,mcp,1714406400000,0.04
000792,1711814400000,1714406400000,,mcp,1714406400000,0.1765
000795,1711814400000,1713542400000,,mcp,1713542400000,0.0607
000796,1688054400000,1693238400000,,mcp,1693238400000,-0.147
000800,1688054400000,1693411200000,,mcp,1693411200000,0.0872
000801,1767110400000,1774972800000,,mcp,1774972800000,0.1755
000807,1688054400000,1692720000000,,mcp,1692720000000,0.44
000818,1696003200000,1698422400000,,mcp,1698422400000,0.14
000829,1751212800000,1756483200000,,mcp,1756483200000,-0.061
000860,1696003200000,1698422400000,,mcp,1698422400000,-0.394
000862,1688054400000,1692720000000,,mcp,1692720000000,0.2192
000863,1759161600000,1761580800000,,mcp,1761580800000,0.0062
000880,1711814400000,1714406400000,,mcp,1714406400000,0.07
000892,1703952000000,1714406400000,,mcp,1714406400000,-0.41
000895,1767110400000,1774368000000,,mcp,1774368000000,1.4733
000897,1688054400000,1692979200000,,mcp,1692979200000,0.2989
000901,1688054400000,1693411200000,,mcp,1693411200000,0.0329
000902,1727625600000,1729180800000,,mcp,1729180800000,0.8869
000912,1688054400000,1693411200000,,mcp,1693411200000,0.1
000921,1751212800000,1753891200000,,mcp,1753891200000,1.52
000973,1688054400000,1692374400000,,mcp,1692374400000,0.0469
000987,1751212800000,1756483200000,,mcp,1756483200000,0.3093
001201,1601395200000,1635350400000,,mcp,1635350400000,4.09
001201,1617120000000,1651075200000,,mcp,1651075200000,1.39
001201,1703952000000,1714406400000,,mcp,1714406400000,-2.43
001202,1538236800000,1572364800000,,mcp,1572364800000,0.42
001202,1601395200000,1635436800000,,mcp,1635436800000,0.55
001203,1601395200000,1635177600000,,mcp,1635177600000,0.25
001205,1601395200000,1635091200000,,mcp,1635091200000,0.8792
001206,1601395200000,1634832000000,,mcp,1634832000000,2.38
001207,1601395200000,1634918400000,,mcp,1634918400000,0.5295
