code,asset_type,xt_code,period,status,target_count,fresh_count,matched_count,missing_target,missing_fresh,duplicate_target,duplicate_fresh,fully_time_covered,open_mismatch,high_mismatch,low_mismatch,close_mismatch,max_abs_diff_close,fully_ohlc_aligned,download_ok,download_note
000001,STOCK,000001.SZ,daily,TIME_MISMATCH,2078,2079,2078,0,1,0,0,False,0,0,0,0,0.0,True,True,
000001,STOCK,000001.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000002,STOCK,000002.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000002,STOCK,000002.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000006,STOCK,000006.SZ,daily,ADMISSIBLE,2037,2037,2037,0,0,0,0,True,0,0,0,0,0.0,True,True,
000006,STOCK,000006.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000007,STOCK,000007.SZ,daily,ADMISSIBLE,2036,2036,2036,0,0,0,0,True,0,0,0,0,0.0,True,True,
000007,STOCK,000007.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000008,STOCK,000008.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000008,STOCK,000008.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000009,STOCK,000009.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000009,STOCK,000009.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000010,STOCK,000010.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000010,STOCK,000010.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000011,STOCK,000011.SZ,daily,TIME_MISMATCH,2078,2079,2078,0,1,0,0,False,0,0,0,0,0.0,True,True,
000011,STOCK,000011.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000012,STOCK,000012.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000012,STOCK,000012.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000014,STOCK,000014.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000014,STOCK,000014.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000016,STOCK,000016.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000016,STOCK,000016.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000017,STOCK,000017.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000017,STOCK,000017.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000019,STOCK,000019.SZ,daily,ADMISSIBLE,2018,2018,2018,0,0,0,0,True,0,0,0,0,0.0,True,True,
000019,STOCK,000019.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000020,STOCK,000020.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000020,STOCK,000020.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000021,STOCK,000021.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000021,STOCK,000021.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000025,STOCK,000025.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000025,STOCK,000025.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000026,STOCK,000026.SZ,daily,TIME_MISMATCH,2077,2079,2077,0,2,0,0,False,0,0,0,0,0.0,True,True,
000026,STOCK,000026.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000027,STOCK,000027.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000027,STOCK,000027.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000028,STOCK,000028.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000028,STOCK,000028.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000029,STOCK,000029.SZ,daily,ADMISSIBLE,1388,1388,1388,0,0,0,0,True,0,0,0,0,0.0,True,True,
000029,STOCK,000029.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000030,STOCK,000030.SZ,daily,TIME_MISMATCH,2029,2079,2029,0,50,0,0,False,0,0,0,0,0.0,True,True,
000030,STOCK,000030.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000031,STOCK,000031.SZ,daily,ADMISSIBLE,2011,2011,2011,0,0,0,0,True,0,0,0,0,0.0,True,True,
000031,STOCK,000031.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000032,STOCK,000032.SZ,daily,ADMISSIBLE,2078,2078,2078,0,0,0,0,True,0,0,0,0,0.0,True,True,
000032,STOCK,000032.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000034,STOCK,000034.SZ,daily,TIME_MISMATCH,1991,1992,1991,0,1,0,0,False,0,0,0,0,0.0,True,True,
000034,STOCK,000034.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000035,STOCK,000035.SZ,daily,ADMISSIBLE,1955,1955,1955,0,0,0,0,True,0,0,0,0,0.0,True,True,
000035,STOCK,000035.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000036,STOCK,000036.SZ,daily,TIME_MISMATCH,2070,2079,2070,0,9,0,0,False,0,0,0,0,0.0,True,True,
000036,STOCK,000036.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000037,STOCK,000037.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000037,STOCK,000037.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000039,STOCK,000039.SZ,daily,TIME_MISMATCH,2078,2079,2078,0,1,0,0,False,0,0,0,0,0.0,True,True,
000039,STOCK,000039.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000042,STOCK,000042.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000042,STOCK,000042.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000045,STOCK,000045.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000045,STOCK,000045.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000048,STOCK,000048.SZ,daily,TIME_MISMATCH,2045,2079,2045,0,34,0,0,False,0,0,0,0,0.0,True,True,
000048,STOCK,000048.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000049,STOCK,000049.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
000049,STOCK,000049.SZ,1min,ADMISSIBLE,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,True,True,
000050,STOCK,000050.SZ,daily,ADMISSIBLE,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,True,True,
