code,asset_type,mismatch_bar_total,max_abs_diff,verdict
159205,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159215,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159218,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159221,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159225,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159226,ETF,4,0.001,ADMISSIBLE_TICK_TOLERANCE
159235,ETF,3,0.001,ADMISSIBLE_TICK_TOLERANCE
159258,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159262,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159263,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159273,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159279,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159297,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159307,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159310,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159316,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159323,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159330,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159339,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159362,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159366,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159368,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159369,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159371,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159399,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159506,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159507,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159516,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159519,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159527,ETF,4,0.001,ADMISSIBLE_TICK_TOLERANCE
159529,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159539,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159555,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159557,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159561,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159562,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159566,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159570,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159573,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159586,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159591,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159593,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159605,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159607,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159609,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159625,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159628,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159629,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159641,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159652,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159656,ETF,4,0.001,ADMISSIBLE_TICK_TOLERANCE
159662,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159665,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159676,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159681,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159682,ETF,2,0.001,ADMISSIBLE_TICK_TOLERANCE
159687,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
159688,ETF,1,0.001,ADMISSIBLE_TICK_TOLERANCE
