code,xt_code,asset_type,segment,target_count,fresh_count,matched_count,missing_target,missing_fresh,duplicate_target,duplicate_fresh,fully_time_covered,open_mismatch,high_mismatch,low_mismatch,close_mismatch,max_abs_diff_open,max_abs_diff_high,max_abs_diff_low,max_abs_diff_close,fully_ohlc_aligned,download_seconds,fresh_rows,download_ok,download_error,admission_status
000012,000012.SZ,stock,daily,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,1.226,2079,True,,ADMISSIBLE
000012,000012.SZ,stock,1min,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.491,5061,True,,ADMISSIBLE
000025,000025.SZ,stock,daily,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.409,2079,True,,ADMISSIBLE
000025,000025.SZ,stock,1min,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.5,5061,True,,ADMISSIBLE
000060,000060.SZ,stock,daily,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.492,2079,True,,ADMISSIBLE
000060,000060.SZ,stock,1min,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.505,5061,True,,ADMISSIBLE
002864,002864.SZ,stock,daily,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.35,2079,True,,ADMISSIBLE
002864,002864.SZ,stock,1min,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.556,5061,True,,ADMISSIBLE
600000,600000.SH,stock,daily,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.446,2079,True,,ADMISSIBLE
600000,600000.SH,stock,1min,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.531,5061,True,,ADMISSIBLE
600039,600039.SH,stock,daily,1323,2071,1323,0,748,0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,True,0.37,2071,True,,TIME_MISMATCH
600039,600039.SH,stock,1min,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.524,5061,True,,ADMISSIBLE
600875,600875.SH,stock,daily,2079,2079,2079,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.363,2079,True,,ADMISSIBLE
600875,600875.SH,stock,1min,5061,5061,5061,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.53,5061,True,,ADMISSIBLE
510300,510300.SH,etf,daily,2075,2075,2075,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.383,2075,True,,ADMISSIBLE
510300,510300.SH,etf,1min,32053,32053,32053,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,3.214,32053,True,,ADMISSIBLE
159919,159919.SZ,etf,daily,2075,2075,2075,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,0.389,2075,True,,ADMISSIBLE
159919,159919.SZ,etf,1min,32053,32053,32053,0,0,0,0,True,0,0,0,0,0.0,0.0,0.0,0.0,True,3.173,32053,True,,ADMISSIBLE
